ID Cartel;Ubicacion;Anyo;Zona;Latitud;Longitud;Direccion
101;Gta Embajadores Miguel Servet;2009;LAVAPIES;40.42107;-3.72026;Gta Embajadores Miguel Servet
102;Miguel Servet Meson de Paredes;2009;LAVAPIES;40.49176;-3.59356;Miguel Servet 
103;Miguel Servet Amparo;2009;LAVAPIES;40.40037;-3.69277;Miguel Servet Amparo
104;Valencia Sombrereria;2009;LAVAPIES;40.42341;-3.69086;Calle Valencia 15
105;Argumosa Dr Fourquet;2009;LAVAPIES;40.42107;-3.69087;Calle de Argumosa 41
106;Dr Piga Salitre;2009;LAVAPIES;40.42108;-3.69088;Calle del Salitre 38
107;Valencia Tribulete;2009;LAVAPIES;40.42109;-3.69089;Plaza de Lavapies
108;Amparo Sombrerete;2019;LAVAPIES;40.4211;-3.6909;Calle Sombrerete
109;Meson de Paredes Sombrerete;2019;LAVAPIES;40.42107;-3.69085;Calle Meson Paredes 61
110;Meson de Paredes Tribulete;2019;LAVAPIES;40.42107;-3.69086;Calle Meson Paredes 65
111;Embajadores Provisiones;2019;LAVAPIES;40.49176;-3.69087;Calle Provisiones 22
112;Embajadores Tribulete;2019;LAVAPIES;40.40037;-3.69088;Embajadores Tribulete
113;Rodas Penya de Francia;2019;LAVAPIES;40.42341;-3.69089;Calle Penya de Francia 1
114;Embajadores Rodas;2019;LAVAPIES;40.40036;-3.6909;Calle Rodas 1
115;Embajadores Tva Cabestreros;2019;LAVAPIES;40.40037;-3.69085;Calle Cabestreros 23
116;Cabestreros Tva Cabestreros;2019;LAVAPIES;40.421;-3.69086;Calle Cabestreros 14
117;Meson de Paredes Cabestreros;2019;LAVAPIES;40.42101;-3.69087;Calle Cabestreros 1
118;Meson de Paredes n 57;2019;LAVAPIES;40.42102;-3.69088;Calle Meson Paredes 57
119;Pza Lavapies Sombrerete;2019;LAVAPIES;40.42103;-3.69089;Pza Lavapies 1
120;del Ave Maria de la Fe;2019;LAVAPIES;40.42104;-3.6909;Calle de la Fe 1
121;Torrecilla del Leal Zurita;2019;LAVAPIES;40.42105;-3.69091;Calle Torrecilla del Leal 29
123;Sta Isabel Buenavista;2019;LAVAPIES;40.42106;-3.69092;Sta Isabel Buenavista
124;Ave Maria Olmo;2019;LAVAPIES;40.42107;-3.69093;Calle Olmo 16
125;Magdalena Ave Maria;2019;LAVAPIES;40.49166;-3.69094;Calle Magdalena 32
126;Atocha Leon;2019;LAVAPIES;40.49167;-3.69095;Atocha Leon
127;Magdalena n 21;2019;LAVAPIES;40.49168;-3.69096;Magdalena n 21
128;Magdalena Relatores;2019;LAVAPIES;40.49169;-3.69087;Calle Relatores 22
129;Pza Tirso de Molina Jesus y Maria;2019;LAVAPIES;40.4917;-3.69071;Calle Jesus y Maria 1
130;Pza Tirso de Molina Colegiata;2019;LAVAPIES;40.49171;-3.69072;Calle de la Colegiata 1
131;Pza Tirso de Molina Meson de Paredes;2019;LAVAPIES;40.49172;-3.69073;Calle Meson Paredes 1
132;Duque de Alba Pza Cascorro;2019;LAVAPIES;40.49173;-3.69074;Calle Duque de Alba 20
133;Pza Cebada Toledo;2019;LAVAPIES;40.49174;-3.69075;Pza Cebada Toledo
134;Pza Cascorro n 6;2019;LAVAPIES;40.49175;-3.69076;Pza Cascorro n 6
135;Embajadores Encomienda;2019;LAVAPIES;40.49176;-3.69077;Calle Encomienda 26
136;Embajadores Abades;2019;LAVAPIES;40.40029;-3.69078;Calle de los Abades 15
137;Embajadores n 26;2019;LAVAPIES;40.4003;-3.69079;Embajadores n 26
138;Meson de Paredes Encomienda;2020;LAVAPIES;40.40031;-3.6908;Calle de la Encomienda 1
139;Amparo Esgrima;2020;LAVAPIES;40.40032;-3.69081;Calle Amparo 1
140;Meson de Paredes Abades;2020;LAVAPIES;40.40033;-3.69082;Calle Abades 1
141;Jesus y Maria Tva Comadre;2020;LAVAPIES;40.40034;-3.69083;Comadre 1
142;Jesus y Maria Lavapies;2020;LAVAPIES;40.40035;-3.69084;Jesus y Maria Lavapies
143;Ministriles Ministriles Chica;2020;LAVAPIES;40.40036;-3.69085;Ministriles Ministriles Chica
144;Olivar San Carlos;2020;LAVAPIES;40.40037;-3.69086;Olivar San Carlos
145;Lavapies Calvario;2020;LAVAPIES;40.40061;-3.69087;Calle de Lavapies 29
146;Ave Maria Pza Lavapies;2020;LAVAPIES;40.40062;-3.6908;Calle del Ave Maria 52
147;Fe Salitre;2020;LAVAPIES;40.40063;-3.69081;Calle de la Fe 19
148;Meson de Paredes Juanelo;2020;LAVAPIES;40.40036;-3.69082;Calle de Juanelo 5
201;Gran Via Valverde;2020;BALLESTA-GRAN VIA;40.40037;-3.69083;Calle de Valverde 1
202;Gran Via Barco;2022;BALLESTA-GRAN VIA;40.40038;-3.69084;Gran Via Barco
203;Gran Via Concepcion Arenal;2022;BALLESTA-GRAN VIA;40.40039;-3.69085;C. de Concepcion Arenal 1
204;Gran Via Miguel Moya;2022;BALLESTA-GRAN VIA;40.4004;-3.69086;Calle de Miguel Moya 1
205;Pza Soledad T. Acosta San Roque;2022;BALLESTA-GRAN VIA;40.40041;-3.69087;
206;Desenganyo Concepcion Arenal;2022;BALLESTA-GRAN VIA;40.40042;-3.69088;
207;Desenganyo Gonzalo;2022;BALLESTA-GRAN VIA;40.40043;-3.69089;
208;Desenganyo Valverde;2022;BALLESTA-GRAN VIA;40.40044;-3.6909;
209;Valverde 14;2022;BALLESTA-GRAN VIA;40.40045;-3.69091;
210;Valverde Puebla;2022;BALLESTA-GRAN VIA;40.40046;-3.69092;
211;Corredera Baja S. Pablo Ballesta;2022;BALLESTA-GRAN VIA;40.42341;-3.69081;
212;Corredera Baja S. Pablo Pez;2022;BALLESTA-GRAN VIA;40.42342;-3.69082;
213;Corredera Baja S. Pablo Puebla;2022;BALLESTA-GRAN VIA;40.42343;-3.69083;
214;Corredera Baja S. Pablo Loreto y Chicote;2022;BALLESTA-GRAN VIA;40.42344;-3.69084;
215;Gran Via Fuencarral;2022;BALLESTA-GRAN VIA;40.42345;-3.69085;
216;Fuencarral 29;2022;BALLESTA-GRAN VIA;40.42346;-3.69086;
217;Gran Via 56;2022;BALLESTA-GRAN VIA;40.42347;-3.69087;
218;Gran Via Isabel la Catolica;2022;BALLESTA-GRAN VIA;40.42348;-3.69088;
219;Gran Via Reyes;2022;BALLESTA-GRAN VIA;40.42349;-3.69089;
220;Pza de los Cubos;2022;BALLESTA-GRAN VIA;40.4235;-3.6909;
221;Pza Espanya;2022;BALLESTA-GRAN VIA;40.42351;-3.69091;
222;Pza Espanya Bailen;2022;BALLESTA-GRAN VIA;40.42352;-3.69092;
301;Pta del Sol Espoz y Mina;2022;CENTRO SUR;40.42353;-3.69093;
302;Pta del Sol Montera;2022;CENTRO SUR;40.42354;-3.69094;
303;Pta del Sol Arenal;2022;CENTRO SUR;40.42355;-3.69095;
304;Carmen Tetuan;2022;CENTRO SUR;40.42356;-3.69096;
305;Preciados 16;2022;CENTRO SUR;40.42357;-3.69097;
